period,hotspot_a,belief_a,n,a,test_intensity,s,psi,support,quota_wedge,signal_accuracy,natural_entry,quota_gap
63,0,0.3130856730176479,1.0,0.0,0.0,0.375,0.36116304062650934,0.36116304062650934,0.0,0.5390844171540782,0.6073356094787159,0.0
64,0,0.31555097815018746,1.0,0.0,0.0,0.375,0.36116304062650934,0.36116304062650934,0.0,0.5390844171540782,0.6073356094787159,0.0
65,0,0.3174946944638795,1.0,0.0,0.0,0.375,0.36116304062650934,0.36116304062650934,0.0,0.5390844171540782,0.6073356094787159,0.0
66,0,0.3190282024257679,1.0,0.15000000000000002,0.51,0.375,0.37060839234764176,0.37060839234764176,0.0,0.6339807835168263,0.5949616256184544,0.0
67,0,0.2588301642188597,1.0,0.0,0.0,0.375,0.353838456928034,0.353838456928034,0.0,0.5390844171540782,0.6168414130072724,0.0
68,0,0.3235971683608762,1.0,0.15000000000000002,0.51,0.375,0.37060839234764176,0.37060839234764176,0.0,0.6339807835168263,0.5949616256184544,0.0
69,0,0.2617970766100763,1.0,0.0,0.0,0.375,0.353838456928034,0.353838456928034,0.0,0.5390844171540782,0.6168414130072724,0.0
70,0,0.2754412229436234,1.0,0.0,0.0,0.375,0.3556744415058698,0.3556744415058698,0.0,0.5390844171540782,0.6144659838173967,0.0
71,0,0.28605082946721,1.0,0.0,0.0,0.375,0.3575071946373418,0.3575071946373418,0.0,0.5390844171540782,0.6120898749819828,0.0
72,0,0.34803048295787414,1.0,0.25,0.75,0.375,0.37745662018732795,0.37745662018732795,0.0,0.6707147342675921,0.5859071780902869,0.0
73,0,0.2544290459435342,1.0,0.0,0.0,0.375,0.35199923234993297,0.35199923234993297,0.0,0.5390844171540782,0.619216164762131,0.0
74,0,0.26973001138403185,1.0,0.0,0.0,0.375,0.3556744415058698,0.3556744415058698,0.0,0.5390844171540782,0.6144659838173967,0.0
75,0,0.33340678537407586,1.0,0.25,0.75,0.375,0.3765581304536387,0.3765581304536387,0.0,0.6707147342675921,0.5870991332981195,0.0
76,0,0.24560159982731072,1.0,0.0,0.0,0.375,0.35199923234993297,0.35199923234993297,0.0,0.5390844171540782,0.619216164762131,0.0
77,0,0.26290421934816,1.0,0.0,0.0,0.375,0.353838456928034,0.353838456928034,0.0,0.5390844171540782,0.6168414130072724,0.0
78,0,0.2763005034368925,1.0,0.0,0.0,0.375,0.3556744415058698,0.3556744415058698,0.0,0.5390844171540782,0.6144659838173967,0.0
79,0,0.33930334414757884,1.0,0.25,0.75,0.375,0.3765581304536387,0.3765581304536387,0.0,0.6707147342675921,0.5870991332981195,0.0
